feature_a_id	feature_b_id	feature_a_name	feature_b_name	Correlation
19	0	Metagenomics_10	Drugs_1	-0.4965597916560796
3	2	Drugs_4	Drugs_3	-0.4159852796743785
40	3	Metagenomics_31	Drugs_4	0.1525159942459079
35	2	Metagenomics_26	Drugs_3	-0.1046368643847708
4	1	Drugs_5	Drugs_2	-0.10426836184882105
24	4	Metagenomics_15	Drugs_5	0.10371212773979732
17	4	Metagenomics_8	Drugs_5	0.0996742193982315
32	3	Metagenomics_23	Drugs_4	0.09633910831624445
21	1	Metagenomics_12	Drugs_2	-0.09487854704828007
13	3	Metagenomics_4	Drugs_4	-0.09261759058433992
44	4	Metagenomics_35	Drugs_5	0.09210557905391364
5	1	Drugs_6	Drugs_2	-0.08861246021071736
41	4	Metagenomics_32	Drugs_5	0.08778387793411918
24	2	Metagenomics_15	Drugs_3	-0.08770469947312079
23	3	Metagenomics_14	Drugs_4	0.08407543486456717
36	1	Metagenomics_27	Drugs_2	0.07454404798035104
30	1	Metagenomics_21	Drugs_2	0.07278172621382063
25	2	Metagenomics_16	Drugs_3	0.07260353685231369
16	2	Metagenomics_7	Drugs_3	-0.07248420065739676
24	0	Metagenomics_15	Drugs_1	0.07236958319364444
45	3	Metagenomics_36	Drugs_4	-0.07190318322363458
16	0	Metagenomics_7	Drugs_1	0.07161957798553986
21	2	Metagenomics_12	Drugs_3	0.07135428806439754
20	1	Metagenomics_11	Drugs_2	0.07036672182012493
9	2	Drugs_10	Drugs_3	0.06932993982871286
12	2	Metagenomics_3	Drugs_3	-0.06918671852970079
12	3	Metagenomics_3	Drugs_4	0.06854022734750986
18	2	Metagenomics_9	Drugs_3	-0.06800489652883132
17	3	Metagenomics_8	Drugs_4	0.06790732043588736
23	1	Metagenomics_14	Drugs_2	-0.06770220649927372
20	0	Metagenomics_11	Drugs_1	0.06553318411403079
46	1	Metagenomics_37	Drugs_2	-0.06477493565124408
41	1	Metagenomics_32	Drugs_2	-0.06442577030812316
5	2	Drugs_6	Drugs_3	0.06436586906030621
47	0	Metagenomics_38	Drugs_1	-0.06415323806628129
8	3	Drugs_9	Drugs_4	-0.06393329930491903
1	0	Drugs_2	Drugs_1	-0.06377734796125169
7	4	Drugs_8	Drugs_5	-0.06353810516062822
26	2	Metagenomics_17	Drugs_3	-0.06339877734264784
40	1	Metagenomics_31	Drugs_2	-0.06292593257180226
43	2	Metagenomics_34	Drugs_3	0.06065027134672414
11	0	Metagenomics_2	Drugs_1	-0.06020404090259924
44	0	Metagenomics_35	Drugs_1	-0.060102250682157674
14	3	Metagenomics_5	Drugs_4	-0.05986721181596561
35	1	Metagenomics_26	Drugs_2	0.05694653036131811
37	1	Metagenomics_28	Drugs_2	0.05659350439835358
47	2	Metagenomics_38	Drugs_3	-0.0561520859003695
31	3	Metagenomics_22	Drugs_4	-0.05609166810106181
